business_id,review_count,stars,state
SXyGMj1rBHauU_MMLEsUfw,31,2.0,NV
Kuwf8Xaid8X5DwYZLfObqw,8,4.0,NV
6r2f7qd5NZBv1cLOzRVxKA,70,4.0,QC
1QJFpZxLbHbXSKohWp9uIA,531,4.0,AZ
XVxReat5L3dgeBTlR64ufA,3,3.5,QC
XJ2dT7pwmutxM4ceQnTVUg,337,3.0,AZ
lFUCz-x73Jb9eKvLHuanwg,11,4.0,AB
zon_VZRtq1gnXGDyEN0MNA,8,2.0,WI
wTBfpTjdWG_zoE62B_bLtA,10,3.0,IL
Rt_M67qJU8x4QGhdYwnkAQ,85,2.5,NV
Vi3q6hjfkpYwA2n7c6CdPA,3,3.5,QC
R2ir667KUOdyhGJp9Q06dQ,9,4.5,NC
zPSap4Fc3yX440StwufCTQ,3,2.5,AB
r92duI6MtSi1-seaIeQUWA,17,3.5,AB
gM2aVDfyS2IIn6b_V_vbqg,4,2.0,ON
zYb4kj2R54R2YPeNm829BA,284,3.5,NV
o_c82LAuEV5Yr30Xp2NveA,146,3.5,NV
1pU0GJXTDPTJ2HfcuZt7dA,8,3.5,ON
IvkBPG8qtSx56P0Z9xmijg,20,4.0,OH
SSyulcbXDsyq25OQXhEF3w,5,2.5,QC
dbMaHYwlEzLXRuaGc0jXrA,3,3.5,AZ
EJGv2la6CcZmEIpkE4hzyg,3,4.5,OH
tKi4OvAlckcVzeP92InsOQ,460,4.0,AZ
nsw3tlB-hwz4KbPYcuaSww,250,4.5,WI
S6185mqOFmxuPiezVnSJfQ,5,3.0,NV
MQJxekA2SN8kmoo-kiq1dw,36,4.0,OH
7ZBh-3wWVQ5zkd6KZytW0g,146,3.0,ON
goMccfETQlUOb9_USl4BUg,55,4.5,OH
UkocLwA8OtjQl79vES-aRQ,6,3.0,ON
A_YO9kvdEqd8vXGKc696yg,42,2.0,ON
ZfCzpZNYSWeA3Ouku2eqlA,5,1.5,PA
wuEmc5_t3vnbM_qnROKG_A,7,3.5,QC
W_2SaN0xzmH0WjScED4a4Q,136,4.5,AZ
Egwnk84ioGxzx6BsJmWkrw,29,4.0,PA
xwiSKs_tIp-zU4eZOO6IEA,30,1.5,NC
d-PQrWHCEbv_lH-UMD874Q,47,4.0,QC
5eDg_Y2N6aU_k7tIxoFXTg,59,4.0,NV
h8MMgum-XUQhU4xWCyQWLQ,121,4.0,OH
a3ZqjElMgAe924sbXZVcvA,20,4.5,PA
BQMVcJQV70gUQjwi7-MrSg,5,4.0,IL
ot9iwwY_oSzf9VWkEl4XkA,29,2.5,AZ
Qf0mMQ4Q6ay7umkoqkHqdA,9,5.0,NV
JC1tcGar1T3jko1iX2fIHg,45,4.5,AZ
y2lttTrB3kyoEG6kDSONbg,6,3.5,OH
YLayCyasvK7uwNPpy-ixzA,3,3.0,ON
GqH0U0E3Te5pUUjyiIzNBQ,8,3.0,OH
2E57EmAD7qdfS1NL8_EfMQ,4,4.0,NC
uE6hI5_i4QVq12xU99xtqA,77,4.0,PA
mspZuHQ8rVXpyVMqQIKw_A,268,3.5,ON
9LE2yGl23qxitNc9mkpbjA,110,4.0,ON
qLFw7xaiPK7OC4ohIHxr_w,15,4.0,NC
Qy_FDRtL-f-syUlEKpg_6A,15,2.5,OH
yyT2aODioewkwIP-dQZ_wA,9,2.0,ON
VbnCVDde6wpaUMDVjllHwA,6,3.0,NC
yU7GLvB07AEGhsoCc9scQg,11,4.0,PA
hsbtcqamJjmL6ASCAWnQVw,38,3.5,NC
oRmCI0p2mvlrGwilJloFTQ,64,2.5,NC
TQqhfjlPVEz41K_wAogQSQ,123,3.5,WI
lH1WyBjyrIlWjYvKmaKctg,28,3.5,AZ
zysuthY02TaG7xvy-Lceew,4,4.0,ON
8aPTNdySQ2ipjWtCJG0vnw,4,3.0,ON
FEnAZBsWW9o1yhDRygQ_Sg,42,4.0,ON
SjTuUY750vBZXIDUXpfqgQ,4,2.0,ON
D6RDpCS1lfgZdPuLHlpsHA,123,3.0,AZ
oi6mahpAmEuikfihFVDmCw,279,4.0,AZ
QARy4UUOQogMjDp9jP-YVg,162,3.5,AZ
Q-ncQPq0btYe9zaTclbGxA,5,5.0,AB
Ktw2LiHK6Ipthw0ua3B16w,7,4.5,QC
P0-oxpGOTqRYbXNUye0IFw,15,5.0,ON
Eo4s6CmPpEcXCkfg9Zk_EA,8,2.0,ON
v96WNXIHgrgD4kZ0yAKjpA,16,3.5,QC
xBwE7uIx-yN-n4OpNeAaDQ,49,2.5,AZ
vZmKNy61z53RnxBTCy86YQ,4,2.5,OH
-FfmSy7kw1MOqVB8Xs_1VQ,10,4.5,QC
bHB-cDviPZcFKb5m9CAyEA,38,3.5,QC
uQmYBHGlmKVbLCzyjFPYZA,22,3.5,AB
-aIDAzPJTUexM3Skp78wlQ,4,5.0,ON
MHQeEU0silLPdZPM28yXWA,4,1.5,QC
DfLeOD6pUGkeNaqlbib8tw,91,3.5,NV
cPWbolWE6ip5SupmfH-nBQ,5,1.0,NV
i8Qa0fu53bC1IMfdBPuQVg,3,2.5,ON
dQPCIQuQTKIMVojtXDpEpg,19,4.5,AB
yfB0O7bvLIWE3G9p2yUQcA,8,4.5,ON
ETtEoO2MpU-UHUVVtAqkEw,43,4.5,NV
kVqj5hrjUnoDV6nb6oRFbg,76,3.5,AB
gbDZhohLAOL1ufdVWHMTxQ,11,2.0,PA
BBt-5yPqj8frO-BEP3Q3XA,3,4.5,AZ
Zp2vJfHciG9IiXfmtH5Wdw,86,4.0,PA
OsgTFouPbcrCDnt-byTdAw,7,3.5,PA
DhbtTQMTkkmCSt0nBTGCMw,13,2.5,AZ
v5YvCuj_b26JKAqDcnReFQ,133,4.0,NV
iBhTjNsOzKZuSEWgTT013w,42,3.0,ON
sJSRXg48n9MnkGaPjmPmZw,9,4.0,ON
vvyr4r16lx5hjHJpaFJ8kw,10,3.5,OH
P7Vk5j_XzWl-9kS5qZd9aQ,20,3.0,PA
FXuMp43qxKoOUk5kdky1kQ,8,4.0,QC
D4x9peZuBkps6j6T2WRpDA,8,2.0,AZ
MkzaB1merlsrz92EMGQQkw,11,2.5,WI
UgWVMUWFrr6bt3NSfuKrGQ,79,2.0,OH
CiNZmBtZRaRSXKjwun4R4A,40,3.5,WI
M_v9BN9QHosc8kohmUj-cg,39,3.5,ON
fBgUT-V7F66kNOkv56fCnA,8,2.5,ON
CnmhEiSGkIgUdFGN-rpaHw,58,4.0,OH
TEXUVhF-G_v2Sxwqti8HQA,96,3.0,IL
ft5LUuDwmS8ONnI7AooLjQ,25,4.0,ON
pWJoOfYUWSkro0WNxHspFg,37,4.5,PA
wVc3g-YfyDvkOLDecpr4DA,115,4.0,ON
35sOd4isS-SJi92Yknn-Xg,3,3.5,NV
Cg3sK4ptre1uPPCzPWH1aw,59,2.5,ON
9XLH_grfIYKR7d5ZT9ZX_A,54,4.0,ON
UXl_Grxsus1o0w3NKxYn4g,7,4.0,OH
_d69ooWJ_7AXYQRvVNSjmQ,12,2.0,PA
xhCiQt_-pMp1nKDXZ7n7BQ,43,3.5,ON
6auJK39JkGdqRTYJh8yxVg,6,4.0,QC
_OoO2KjBQCZxS5A9ueAOLg,4,3.0,QC
7LIxuMlLsQp_znezKPBRaA,38,3.0,AZ
111d13yLgIdqvpZekgVnbQ,5,3.0,ON
BVYvfJiVcQTl9B311z518w,42,3.0,AZ
RU4-CoRiOE4sD99G1w1_Ug,6,3.5,NC
GtRFZornDaDFpp1DwOgN4Q,5,3.0,QC
ooEGT0bvsVkSafMnoU3LQw,3,3.5,AB
QCCVxVRt1amqv0AaEWSKkg,704,4.5,NV
LY75YFEGLZM7K051ahciaA,8,4.0,QC
f0raw0dgwZpaAywSruySAw,3,3.0,ON
NJTjyJSOQwtGiCdBlcPGwg,30,3.0,ON
RhSi82sDhswGF3MyxCpkUg,9,4.0,AZ
R7eLlAdeIYsxux_Vm0l5sg,74,3.5,PA
jTnD_YpFIeUzhopfuvKpvA,89,4.0,NV
YXvXE2p6xeg6a11SMIjQ3w,359,3.5,AZ
jItwkDeMBFquEb7mAvW-Dw,7,1.5,PA
wkWRSubb5Um4xj1Qnim-Ow,28,4.5,AB
mY2Kjt8XHvHWNKbceCbIXA,7,3.0,AB
DC3Uyai-vCCUgMmMvLESlw,102,3.5,NV
Hb7mHNnGD0dyJs2hScihOA,29,4.0,OH
-Lovf0jkQtvb6Y_WjDn-sw,32,3.5,PA
CDfwYmSPggcqlHay1Xa-TQ,8,3.0,NV
Bq6rRlyp_KJ5LWjkVBxDTQ,4,3.0,QC
JexI9opGP2n_Xv6IKnN0Bg,25,2.5,WI
KsNZgnE0tFblW4Rfu72mZg,50,3.0,AZ
IOmlp-I18fB8t43DjQMDNg,12,3.5,NV
ttoTU2MrP0DSXtOWAWBEhg,8,4.5,QC
2PDCtdFPRaXdqKtVrx0aIg,23,4.0,QC
1CoYbtdckKh5S8eNSoanQQ,6,3.0,ON
ubpfIf6qT2vIDQaPC_2GGA,5,2.0,ON
GD9mTnCht2bog2yb0gH9Bg,5,4.5,QC
GEpIV65f4afQHlL-yxC3wA,5,4.0,IL
VSbLyFGbq7KUYSpyNxFnew,5,4.5,OH
tWdp26XQEJqJGnRmFVJQxA,211,4.0,ON
BvV9SSaQhC4fvpC3XyQjjA,4,4.0,NV
ia1Q47ANt6OZDMpQPzkqJQ,16,3.0,AZ
JZB9Zjex7mlJNu7lyJ08Qw,7,1.5,ON
8rVOVcTKyxKLOgNdktGfwQ,4,5.0,NC
AQKOuwrOCacAhd-jfFMABA,19,3.0,NV
N1K9mZNBIqx5MBkTLpNNWg,14,3.5,ON
aD4qhONCE5catMdQC4sqwg,14,3.5,ON
Puo7pY8_h7acOb826Q27pg,33,2.0,AZ
UO2wvlS6Uyg9T_aPvPoIOA,10,3.5,AZ
R0wi-kIzSmtEfryO-0wAxA,51,4.0,NV
WY630Bgo202sOpiT57EN5g,4,4.0,NV
N6-dAWPTAaHqwRb94vXFCQ,100,3.0,SC
6DWFVwgm3d9jfBUOkJuANQ,18,4.0,ON
pMaOpte9NXZXSS8wolXxGw,3,3.5,ON
bD3r0YLPNoEYsDaPCQwkVA,5,2.0,ON
M3sOd9i8X5ftmMO1sxfo0w,3,3.5,QC
4MyZEzAuoh8oXPzCEhw_FA,15,4.0,PA
grtgCs-Ni4lTIJJr3dOu_w,18,3.5,OH
wr6z01f4jcGQkRQMSw7nLg,10,2.0,TX
YYWkJwfO1HApuHiW-8eq7Q,92,3.5,AZ
bIDlDuV6rKAium8d3GvPSA,3,4.5,ON
eugCeDZbUZRoLAlcRFKVNw,210,4.5,AZ
gJWQV6tavsLo2PdHgDw4KQ,3,3.0,NV
FzvN6d00RNmLSJy2UMKuvA,4,3.0,PA
rZvBlC4yHQZtodZBsxb3nw,33,4.0,AZ
PsgzwHDq52oux7FiOhUfqA,18,3.0,QC
nz3eymBb37bKlp20QAdVhg,5,4.0,AZ
6bttTDLU4j4GeG7QnvU84Q,18,4.0,ON
zpIybGTZ0RqArG8BOX0ALQ,7,3.5,PA
FZmvSCnBcVXiX08lmGhakA,47,4.5,PA
j4Ms51MtI4arORwaICNfCw,52,3.0,OH
QqQ4dQ58TXrLXV5ow6hcFA,27,4.5,SC
JhJRK4X8A7q2-m8_ubcmuQ,5,4.0,ON
lZtBtisHXtc2mU624Tv8pw,8,3.0,QC
45513UgSlMqWV_yAPVkXrg,117,3.5,NV
1T9LHlRxA6svamJxtZ5P8A,4,4.0,AZ
dsAcgF6qtZy2m6d_yWCrGQ,71,3.0,ON
oyfnyUzZRojY7pths20xlg,12,3.5,ON
wG6OGOhbbnzaObROAld5YQ,5,2.5,AB
XhGzZwUUMEblTqwlz875Cw,13,3.0,ON
fiRbomFAAtfTYOTTtnDUcA,309,3.0,PA
WbMZHFOOzjmQybWyHdfDxA,33,4.0,ON
Hb8pO9jpr4IeB6cFcVZxxA,97,3.5,AZ
vKOIeVNIrMVapj0lfM9igg,3,4.5,QC
FZP3_NIcNiMLD8hp0sm9PQ,12,3.0,ON
_tDkuLe4iwD8LhlcQYyarA,8,1.0,ON
wuyJfCF5gWyz9yrFMaGczQ,91,3.5,PA
jXHz9eKcRuukkqJDI-cSig,3,2.5,ON
HiSSJu0Dhy6WRhYtoIBl8w,5,3.5,QC
s7VrlWGW34-qPjj_Ewx50g,8,3.5,QC
lqwx4u_BFK8bgd91O-L1hg,6,3.0,PA
FlSz_R7LkZE-eqNDuQ_CjQ,46,4.0,NC
hp6BQeJG4mcTETwI1Cvqlw,6,4.5,ON
ABRVorSKOKIWSPSpaWI-vQ,77,3.5,AZ
TuWw6Om50yA5jSXm7dma3g,138,4.5,AZ
A4aU9qMO4yxv4q3dqHZjmw,19,2.5,OH
xRHbsV3S884mE95p4-nOmQ,25,3.5,AZ
ws09HDqOIfyKMN0TSp3YKQ,31,3.0,WI
LBcCkRqkqJGthuqLE0t7zw,7,2.0,PA
7lnJRIZOI38HbQKiQASmkA,31,4.5,NV
qhJ6RP2x6DvEAzZaUP0HWg,16,3.0,NC
KMnFlu3SifyKWKVeMX1UFg,85,3.0,AB
7PRse3yCQbEprAj1DWrEQQ,207,4.5,PA
qABb9Wzdn51VcNHdp_Qhpg,171,3.0,NV
9Z6WpoBnuBZBWr0ML6WRpQ,9,2.5,ON
6d7aOsiinhme6BB7s2QmZQ,11,4.0,ON
E9b73ETPw0VYUJ2_YSJJdQ,217,2.5,ON
vExvdgUbU377-Fry2uuv_w,80,3.5,ON
Gf5Mn_XTGI58Hfxtd0zKCA,4,4.5,QC
ElFjivhz41XfFiOogtTCvg,16,2.0,ON
oS3A5ZWTZ6XxjmlRnjtyJA,5,3.5,QC
ycTUCAYGmbJAXoJ3wuaC1g,6,3.0,ON
vncZRj0DdbuKWEXV_t0g5A,3,1.5,SC
HR143JcKersbylkxUEa_Hw,6,3.5,AZ
tFuWPheGlUElFlWUTLSUjA,13,4.0,PA
lpel3pRFAzlow7u2TJMz4Q,153,4.0,OH
qUZvcHJ6YDNHVmPLe02mYg,12,3.5,PA
-D2vGSq_SvuCmHdqsDxzeA,32,3.5,AB
weXoqWqLgzMOf5Yz-qiujw,5,3.0,NC
rUNAYaahodHyeud1tX_liw,11,3.5,ON
x8A0DPqfAPwdmAYjISW_jw,3,2.5,AB
aMQ9eniSKkEkL0id93Y9cw,15,4.5,OH
A6C0YbnRSsP9nHb3qSmu7Q,29,4.0,NC
XA7hhTrBn0QQA18DK-VJoQ,4,4.0,ON
CkjKz23djBq3MoBrAzFYZw,7,4.0,OH
wiwkuWyNhPrKkgGZKIDMfQ,6,3.5,QC
CVEFqoWc2azMDsyEesMSZQ,15,4.5,ON
t6ZIBNrQjvtwor8W-u3sUg,232,4.0,NV
WW_oh8NfnHH32L_H5Kn1Ig,35,3.5,ON
kuuMxk66wDFU5wkFQUuYCA,3,3.5,ON
oFZtsd8os5LA-Vj8fRxh-g,7,3.5,AZ
n0yMrpye4tLpmaTSzXRGuw,10,3.5,NV
3tgjbgWcLCmCfFX6neT4JQ,18,3.0,ON
NIa2db-5CKAPjatV1znOBA,37,3.5,NC
DsHEbDuM4lxYb2js8WfVLQ,3,3.0,QC
stD-LTFFwlmBdzU-0aBntw,49,3.0,PA
tstXUpIFZQ9xYejjGQrDwg,37,3.0,OH
F9IJ3EddoyW89O0DFikPTQ,57,4.5,PA
BrclERrbZrQNRyBmDGawQQ,135,4.5,NV
mJ24zWo_FdE3_9v24sqFiw,23,3.5,PA
7gIK3en6jVyiColBvlHNPA,4,3.0,NV
zqzVQZ3nFHyh6HxGaV-nfQ,3,4.0,QC
21A_bgVrD_zNrg8zK0QA2Q,4,2.0,AZ
x88xL8tJEhOS1QxlvOvz0A,16,3.0,QC
vhKUBKcOm8zOLxeS3XM9iA,94,3.0,AZ
A8bgJj03rOioaULr9TZSCg,5,2.5,NC
qZZ8VU1Bk-xCruEAZNwm6A,96,4.0,OH
JkQSLe_rBftbTJdZuQFlSw,290,4.0,OH
TwYdL1qY7FFBl1BqCo-CJw,30,4.5,OH
xYy54Y2VTBAG5k7WJcaH4A,38,4.5,NC
SOkVHoA5BZh99pwdcAbIoQ,82,4.5,AZ
7JSOssAyZ83aYgohoTUc8w,3,4.5,NC
YUpTWjuCgOL51Wti8XKxRw,12,2.5,OH
prtXvudOu4Wr41VCOWcyZA,3,4.5,AB
Z0c9-Eoxz7SQ__68bl3TQw,94,4.0,OH
74mRso_qqJPNE5nMbRw7kA,14,2.5,AZ
jyFoxS8MofdpkAAK6A2LVQ,8,2.0,OH
gWY94C5EgNClUOwqJXrBGg,68,4.0,AZ
COMatLbG3N0KkKWC-w0Kew,3,4.0,QC
WFM2FE0THduTbnjgGdGDLQ,10,2.5,PA
4ZLMhp67ZeS1qMnHH4EJ1g,3,1.5,QC
U3O8l_wmzdeckbhHpuRWCg,164,3.0,AZ
bftSQN9eaE5EQBe3ZztN8Q,50,3.5,PA
_RYkQNjV_D6xOzRp3RwVOQ,12,2.0,AZ
AueEbb9kao4lt6CYt06hqw,227,4.0,AZ
BgAV4IwXkd8gpuyUJX2wnQ,117,3.5,AZ
d1zVNv9jW86J0csrknpqcw,172,4.0,AZ
u22akZ9o7DPQ3En_9AQ1lg,32,4.0,AZ
gISF0NrCpXT4m19a6WxvlA,8,4.5,QC
tPHCFO56Bki4yUr6bWcajQ,9,3.5,AZ
ZUMhY0iU55KTIxzzMtj5sg,8,3.0,AB
wVV87hgKwmdcIoIFikFifg,3,4.0,NV
z_RTK0MaxaRHRQ99hDL2QA,130,4.5,PA
Vd6FVCKq0bHqVneb0DjTnw,20,3.5,ON
Uda-CqNfow8Gh4rgtdhJZg,60,4.0,PA
VIG1MhUSl5FFBJ1KtCFqBg,52,2.0,NV
BxNhwgVNi2qsAco8388h5A,53,3.5,AZ
aPvvjVN_JrK0fcyixNOfcw,7,2.0,NC
NuK62BeqnGGoLQNRfZsnUA,12,4.0,ON
D2nfOrnJ2OBlX_428sKyMg,95,3.5,PA
LVfuIFZ7j1uuQHlk3xAIbw,6,3.5,AB
HQhy9jCF-GBb9x-xhJ1rJQ,9,2.5,PA
JDwEvZq0KCSwgEds3LxgMA,62,3.0,WI
xXZw2v10FbaqRiibXhAhlg,23,3.5,OH
uRbuizm1j_9gTRMJJaev0w,18,2.5,NV
2v-8QQfMLX2PCz-0S6gISQ,15,2.5,AZ
VUL-VBbXGZJ-BBkccwHzbQ,3,1.5,QC
wVnTsX7yDWI7pjED4xa9Dg,24,3.0,AZ
hG7GPagUoqCHLowKzlR3kA,4,2.5,ON
5nZVVPO_cYH9aQeClTP9zA,302,3.5,AZ
CTFjaE5hOldHEoTrQa78Ig,6,2.0,OH
MrgZDTcDBf8dmsjrCQNsaA,5,2.0,ON
V4BYvw51GBAj7pv2n7XtOw,26,2.0,NV
PVdy4harWpqcqQZH8mZXkg,4,4.0,AZ
eY2i8JbK0AnFvMs-CyV39w,16,1.0,OH
fD38Tg325rZlw5dqU2Fpog,7,3.5,ON
Ev142kLmV_ASI9iAl-KfKA,32,3.0,WI
uLL2uKqYnPAFwBw11LzDUQ,145,2.5,AZ
qELIf4gzE_vlteu7pO7TZg,94,3.0,PA
14T3cCQcTjAHzoE_4r1bxw,17,3.5,ON
Pnw5K6dsMh6Zn_q2qcpnnA,13,3.0,ON
sV2SXZF2ZySzYyMP5hMybw,121,4.5,NV
ciDaLZY95c3XHYjB-YA04A,3,4.5,ON
ETTzxqOcPuxMqV37y1uhdg,171,4.0,AZ
CJqAQwalDOVoXBKDprIPug,7,2.5,QC
0-kqF27U3eBsSDtlm986Ww,5,4.0,PA
5nMvlKW5n2-O0tT44DYnDQ,50,4.5,PA
Du7im37PWTggDu8jI1GDzA,17,4.0,QC
yysM4mgm-xu40msmh3dHUw,64,3.0,NC
pNPHMJbOZXhP5V6bI2KaRQ,15,4.5,ON
D1E_6MBFKeU2a7EQ4IwoEQ,24,2.0,AZ
DOzHUh8KO8JA-wx4j21V3A,5,3.0,ON
nUyKmUId0900VyXUphsigg,17,4.5,AZ
vZT8FyPWsLEY-7BETi5iCQ,8,3.0,QC
izMVaoWC6BLx_yKMiy8Tpw,7,4.5,AZ
4Y6vhw_oer_GgFQQCE7ziQ,4,3.0,OH
Gpm--ooVaO8bA2OCKcMSEg,6,3.5,PA
gbWVf3a6tUailTJRvvVD4g,18,3.0,NV
iJpmIt-i9-VeChouLcPXbA,55,3.5,OH
c9MyW7_gW15CWc18NUQCnQ,39,3.5,NC
bZ3-_GQZkHv5YI_zzqLNWA,176,4.0,AZ
ojk9NWd9QTWIhu55EN-hcQ,15,4.5,QC
a0epECkZLIs5TkKtDNuyAg,26,3.5,ON
QzvLnOqwH6BIY_jCOvzuQQ,33,2.5,NV
6sheMoVcv6xrs1E7-bNPZQ,46,3.5,AZ
k9Z8E1VvB2-LB6pcHo_UVw,21,3.5,AZ
rL5ALCnz3MT6LzWxADIaVg,3,1.5,OH
RDB4IbeleUsEaqyItDaYRw,4,2.0,OH
CqCWN9aBJf8YNJxyel7psg,95,4.0,WI
FvC3W9E6rXUYx-cTxbnUiA,32,3.0,NV
stNlfaeBITkyGmHn8oRwvg,57,2.0,NV
Y-hmtitiRfg7vmc3N-lTww,394,4.5,AZ
YDJGN_WXkXBAp2LTXvjyaA,20,2.5,PA
3qTSOuJ-ZyU1L7o62KHSIg,191,4.0,ON
oRKyGtUsN5IcRReN7ScUwQ,34,3.5,PA
QeCkX3JI0dZiC6UK4tWl6A,16,3.0,PA
sYf2auhosrx8trbyP9nGyw,63,3.0,IL
PBSnhhjJ9X2uMRgx4QhTcw,8,4.0,OH
fKJmFF3nTgWUCm1K6t3xFw,4,3.0,NC
oPvYovnl06fy5W0e51zjMQ,172,3.5,PA
XdcRr8R5H8psvf-QxtuLMg,140,4.0,AZ
yg7lbX3G_Wpf7EpNQTgEHA,3,3.5,ON
qQsrcouREdFUk4adim1uEA,113,4.5,ON
PuytdMfre748Xfby1Hx9Wg,8,4.5,PA
ii9kqE9s4456Jn9asz-BPQ,315,4.0,QC
7nI-0MaujBqpM2smc3bD-g,22,3.5,AB
CeqWpwHBoaxwRcv5btnv6g,195,4.5,NV
WCqcYtJ4rUxA4bIzjOfzqg,525,3.5,NC
w6N3e8D4xyFV0P_HgTO2Yg,6,2.5,ON
hmCYLvuZSlITrQrdbHBiyw,12,1.0,OH
sXrx17V-AZFvVtTToDyj0A,30,4.0,QC
4NkEWTs76FplOihc-qyBZQ,15,4.0,PA
snijUVBxAMcFR4w-qHrYLw,113,4.5,NV
wHq1efQVz17338k_aUOX3w,335,4.0,AZ
iBZcbvdM1vp_xiuxJVqkNw,47,2.5,AZ
idotH1un0AYxoEWTQP_bRg,23,2.0,AZ
Tz4fdGixKO3_HvOh8i81Iw,33,2.0,PA
KHZKC-xiTAC8yoxRC_95Tg,4,4.0,WI
UdBoKwsk9ZN-zDJLOT1I8w,3,1.5,ON
0KUyFnaBC9DyuB3swdiOCw,14,3.0,ON
r4HkiC71nB9k8Fe8zIORFQ,188,4.0,AZ
fl34c5BlCWmSL_BQk-cnaQ,107,3.5,AZ
